ID;Title;Singer,,,
2051;Siapakah Aku;Imam S. Arifin,,,
2052;Beling-Beling Kaca;Yus Yunus,,,
2053;Satukan Cinta;Erie Suzan,,,
2054;Lambaian Terakhir;Imam S. Arifin,,,
2055;Kasihku;Trio Sakherah,,,
2056;Air Mata Pengantin;Ikke Nurjanah,,,
2057;Sinar;Fenty Nur,,,
2058;Termenung;Imam S. Arifin,,,
2059;Perih;Shanty Sartika,,,
2061;Cintamu Cinta Apa;Nia Daniaty,,,
2062;Aku Tetap Tersenyum;Wulan,,,
2063;Lembaran Baru;Desy Ratnasari,,,
2064;Cinta Bukan Mainan;Endang S. Taurina,,,
2065;Cemburu;Take Off,,,
2067;Tak Mungkin Kumiliki;Pungky Dea,,,
2072;Menanti Untuk Berpisah;Joey,,,
2073;Ku Kan Pergi;Dea Mirella,,,
2075;Penglihatan;Paramitha Rusady,,,
2076;Satu Dalam Nada Cinta;Vina Panduwinata,,,
2077;Kau Yang Ku Sayang;Mawi Purba,,,
2078;Dia Yang Kucari;Endang S. Taurina,,,
2079;Walau Hati Menangis;Dian Piesesha,,,
2080;Dansa Reggae;Nola Tilaar,,,
2081;Peragawati;Arie Wibowo,,,
2082;Aku Rindu Padamu;Pompi,,,
2083;Istri Yang Setia;Endang S.Taurina,,,
2084;Si Hitam;Titiek Puspa,,,
2085;Keagungan Tuhan;Ida Laela,,,
2086;Sinanggar Tulo;N.N.,,,
2087;Kini Ku Sadari;Eddy Silitonga,,,
2088;Emosi Jiwa;Yana & Lita,,,
2089;Takut;Anggun C. Sasmi,,,
2090;Arti Kehidupan;Doel Sumbang,,,
2092;Kututup Layar Cintaku;Ria Resty Fauzi,,,
2093;Bukit Berbunga;Uci Bing Slamet,,,
2094;Untukmu Kekasih;Ebiet G. Ade,,,
2095;Angin Malam;Broery Marantika,,,
2096;Patah Hati;Rachmat Kartolo,,,
2097;Begadang;Rhoma Irama,,,
2098;Rasa Sayange;N.N.,,,
2099;Mimpi Sedih;Broery Marantika,,,
2100;Kr. Dewi Murni;N.N.,,,
2101;Kegagalan Cinta;Rhoma Irama,,,
2102;Marilah Kemari;Dara Puspita,,,
2103;Hidup Untuk Cinta;Titiek Puspa,,,
2104;Ingat Kamu;Dina Mariana,,,
2105;Kasih;Ermy Kullit,,,
2106;Surga Dan Neraka;Hetty Koes Endang,,,
2107;Aduh Lelaki;Angel Pfaff,,,
2108;Hati Seorang Wanita;Betharia Sonatha,,,
2109;Andaikan;Harry Noerdie,,,
2110;Akhir Cinta;Ratih Purwasih,,,
2111;Kereta Senja;Masnie Towijoyo,,,
2112;Dokter Cinta;Evie Tamala,,,
2113;Sepiring Berdua;Ellya Khadam,,,
2114;Hela Rotane;N.N.,,,
2115;Lisoi;N.N.,,,
2116;Untuk Sebuah Nama;Meriam Bellina,,,
2117;Jamilah;Jamal Mirdad,,,
2118;Dingin;Hetty Koes Endang,,,
2119;Cinta;Titiek Puspa,,,
2121;Apa Yang Kau Cari;Endang S. Taurina,,,
2122;Jatuh Cinta;Titiek Puspa,,,
2123;Judul-Judulan;PMR,,,
2124;Termiskin Di Dunia;Hamdan ATT,,,
2125;Kau Tercipta Bukan Untukku;Ratih Purwasih,,,
2126;Kupu-Kupu Malam;Titiek Puspa,,,
2127;Bandar Jakarta;Tradisional,,,
2128;Jembatan Merah;.,,,
2129;Mimpi;Anggun C. Sasmi,,,
2130;Oh Nona Manis;Richie Richardo,,,
2131;Rambutku Rambutmu;Japras Group,,,
2132;Untukmu Kuserahkan;Lidya Natalia,,,
2133;Camelia I;Ebiet G. Ade,,,
2134;Di Batas Kota Ini;Tommy J. Pisa,,,
2135;Hati Lebur Jadi Debu;Jamal Mirdad,,,
2136;Nyanyian Rindu;Diana Nasution,,,
2137;Camelia II;Ebiet G. Ade,,,
2138;Abang Sayang;Ria Resty Fauzy,,,
2139;Mengapa Harus Jumpa;D'Lloyd,,,
2140;Bila Kembali;Yoke Simatupang,,,
2141;Desember Kelabu;Maharani Kahar,,,
2142;Semua Bisa Bilang;Mercy's,The,,
2143;Sabda Alam;Sam Saimun,,,
2144;Impian Semalam;Oei Yok Siang,,,
2145;Gubuk Derita;Hamdan ATT,,,
2146;Soleram (Medley);N.N. & Papa T. Bob,,,
2147;Panggung Sandiwara;Achmad Albar,,,
2148;Bis Kota;Franky Sahilatua,,,
2149;Selamat Tinggal;Favourite's Group,,,
2150;Warung Pojok;N.N.,,,
2151;Mawar Berduri;Favourite's Group,,,
2152;Kepada Angin Dan Burung-Burung;Franky Sahilatua & Jane,,,
2153;Kr. Sapu Lidi;N.N.,,,
2154;Surga Dunia;Rano Karno & Ria Irawan,,,
2155;Semua Jadi Satu;Deddy Dhukun & Malyda,,,
2156;Biru;Vina Panduwinata,,,
2157;Kesan Di Matamu;Chrisye,,,
2158;Cintamu Telah Berlalu;Chrisye,,,
2159;Pergilah Kasih;Chrisye,,,
2162;Kisah Cintaku;Chrisye,,,
2163;Maafkanlah;Chrisye,,,
2164;Hip Hip Hura;Chrisye,,,
2165;Selamat Tinggal Sayang;Chrisye,,,
2166;Nona Lisa;Chrisye,,,
2167;Selamat Bahagia Kekasih;Chrisye,,,
2168;Lilin-Lilin Kecil;Chrisye,,,
2169;Anak Jalanan;Chrisye,,,
2170;Gita Cinta;Chrisye,,,
2172;Lestariku;Chrisye,,,
2173;Marlina;Chrisye,,,
2174;Bunda Tercinta;Chrisye,,,
2175;Datanglah;Chrisye,,,
2176;Jumpa Pertama;Chrisye,,,
2177;Biarkan Aku Sendiri;Merry Andani,,,
2178;Ayam;Trio Fam Plus,,,
2179;Aduh Buyung;Manis Manja Group,,,
2180;Cinta Bukan Sayur Asem;Ine Sinthya,,,
2181;Aku Bukan Hidangan;Hetty Soendjaya,,,
2182;Simalakama II;Yopie Latul,,,
2183;Mau Kamu Suka Kamu;Rano Karno,,,
2184;Gara-Gara Malam Minggu;Tommy & Iis Dahlia,,,
2185;Maafkan Kasih;Merry Andani,,,
2186;Abang Sayang;Anis Marsella,,,
2187;Jalan Sore-Sore;Ramona Purba,,,
2188;Perjaka Dan Gadis Desa;Dewi Ria,,,
2189;Cuma Kamu Satu;Yenny Eria S.,,,
2190;Jangan Dong Mas;Vivi Anasari,,,
2191;Jodoh;Rani Yulia,,,
2192;Tanda-Tanda Asmara;Carina Erres,,,
2193;Sakitnya Hatiku;Iis Dahlia,,,
2194;Hepi Lagi;Kompor 16,,,
2195;Tidak Semua Laki-Laki;Yopie Latul,,,
2196;Dinda Bestari;Rama Aiphama,,,
2197;Kota Solo;Tommy Ali,,,
2198;Saputangan;Minel,,,
2199;Aryati;Tommy Ali,,,
2200;Setangkai Bunga Mawar;Renny S.,,,
2201;Rindu Malam;Renny S.,,,
2202;Sapu Lidi;Tommy Ali,,,
2203;Bengawan Solo;Tommy Ali,,,
2204;Jembatan Merah;Renny S.,,,
2205;Maripi;Dhea Rizky & Trio Laris,,,
2206;Tak Ingin Seperti Dia;Nia Daniaty,,,
2207;Kau Apa Adanya;Hetty Koes Endang,,,
2208;Selamat Jalan;Lia Rachim,,,
2209;Suratanku;Riska Diana,,,
2210;Bakar Kemenyan;Caca Handika,,,
2211;Tak Akan Ada Dusta;Hetty Koes Endang,,,
2212;Batin Menangis;Vera Verawaty,,,
2213;Kalangkang Cinta;Camelia Malik,,,
2214;Beli Cinta;Windasari,,,
2215;Orang Sekampung;Caca Handika,,,
2216;Pangeran Menjangan;Dewi Yull,,,
2217;Cahaya Hidupku;Lady Avisha,,,
2218;Pedang Pembunuh Naga;John W. & Merry Andani,,,
2219;Bukan Aku Yang Kau Cinta;Poppy Mercury,,,
2220;Seribu Satu (1001) Jalan;Doel Sumbang,,,
2221;Terluka;Eva Faradilla,,,
2222;Masihkah Kau Ragu;Biru,,,
2223;Negeri Khayalan;Nicky Astria,,,
2224;Katanya;Eet Sangra,,,
2225;Cinta Bukan Dusta;Cindy Claudia,,,
2226;Air Mata Jadi Saksi;Poppy Mercury,,,
2227;Tragedi Buah Apel;Dora,,,
2228;Melati Putih;Deddy Dores,,,
2229;Perjalanan Cinta;Iwan Adams,,,
2230;Rinduku;Intan,,,
2231;Sinoni;Deddy Dhukun & Kiki,,,
2232;Rembulan Malam;Evie Tamala,,,
2233;Yang Tersayang;Imam S. Arifin & Nana Mardiana,,,
2234;Terbayang - Bayang;Ona Sutra,,,
2235;Rahasia Cinta;Evie Tamala,,,
2236;Rambut;Evie Tamala,,,
2237;Khais Dan Laila;Jhonny Iskandar,,,
2238;Kang Mas;Evie Tamala,,,
2239;Setangkai Bunga Padi;Shanta Hoky,,,
2240;Bola;Ona Sutra,,,
2241;Mau Tak Mau;Imam S. Arifin,,,
2242;Putus Lagi;Trio Sakherah,,,
2243;Hujan Malam Minggu;Bintang-Bintang MSC,,,
2244;Bang Madun;Doyok & Sheilawaty,,,
2245;Horas;Trio Deli,,,
2246;Sedang Sedang Saja;Vetty Vera,,,
2247;Hati Tergores Cinta;Rudy Chysara & Nafa Urbach,,,
2248;Hatiku Bagai Terpenjara;Nafa Urbach,,,
2249;Dimana;Della M.,,,
2251;Sebening Embun Pagi;Ikko,,,
2252;Sembilu Dalam Cinta;Nin Samantha,,,
2253;Melani;Duo Gendut,,,
2254;Sebelum Aku Pergi;2 D,,,
2255;Terlanjur Cinta;Yessy Gasela,,,
2256;Antara Kita;AB Club,,,
2257;Malam Jingga;Kin,,,
2258;Sedang Kurasa;Ade Mirella,,,
2259;Sebuah Lagu Buat Nike;Deddy Dores,,,
2260;Bidadari;Andre Hehanussa,,,
2261;Bias Sinar;Nicky Astria,,,
2262;Sakit Hati;Nella Regar,,,
2263;Disini Dibatas Kota Ini;Tommy J. Pisa,,,
2264;Antara Kita;Andy Liany,,,
2265;Manis Dibibir;Deddy Dores,,,
2266;Aku Masih Sendiri;Pance Pondaag,,,
2267;Suratan;Tommy J. Pisa,,,
2268;Terlena;Ramona Purba,,,
2269;Kau Dan Aku Menyatu;Pance F. Pondaag,,,
2270;Hujan Yang Dingin;Ade Suzie Mirella,,,
2271;Lepas;Imaniar,,,
2272;Ganteng Pacarku;Nini Carlina,,,
2273;Aku Cinta Kamu;Doel Sumbang & Nini Carlina,,,
2274;Dinding Pemisah;Merry Andani,,,
2275;Mas Kamu Koq Loyo;Zoel Anggara & Merry Andani,,,
2276;Cintaku 1 Tok Til;Nini Carlina,,,
2277;Prahara Cinta;Merry Andani,,,
2278;Mas Joko;Helvy Maryland,,,
2279;Amboy Asyiknya;Vonny Sheila,,,
2280;Mendut 'Yang';Linda Carella,,,
2281;Julaeha;Jeffry Bule & Merry Andani,,,
2282;Itu Bibir Jangan Memble;Trio BAM,,,
2283;Gara-Gara;Baby Ayu,,,
2284;Jangan Tergoda Setan;Anis Marsella,,,
2285;Pusing Lagi;Anis Marsella,,,
2286;Taqdir;Nais Larasati,,,
2287;Cinta Dompet;Ade Sevilla,,,
2288;Pelukan Terakhir;Merry Andani,,,
2289;Bosan;Atie Adhiyati,,,
2290;Cuma Kamu;Doel Sumbang & Ikko,,,
2291;Camer (Calon Mertua);Batavia Reggae Band,,,
2292;Kanda Disini;Nia Dicky Zulkarnaen,,,
2293;Kwitansi Biru;Prilly Priscilla,,,
2294;Bulan Kemah;Doel Sumbang & Julietta Kullit,,,
2295;Tergila-Gila;Rama Aiphama & Eet S.,,,
2296;Linu;Doel Sumbang,,,
2297;Kecupan Pertama;Merry Andani,,,
2298;Ke Ujung Bintang Kan Kucari;Nur Afni Octavia,,,
2299;Kalau Bulan Bisa Ngomong;Doel Sumbang & Nini Carlina,,,
2300;Air Mata Buaya;Dr. X,,,
2301;Bibir Siapa;Helvy Maryland,,,
2302;Dasar Lelaki;Hesty Brizha,,,
2303;Badai Asmara;Poppy Mercury,,,
2304;Nyanyian Hati;Chintami Atmanagara,,,
2305;Sudahlah Aku Pergi;Achmad Albar,,,
2306;Menanti Kejujuran;Gong 2000,,,
2307;Sungguh;Ozy Syahputra,,,
2308;Sebelum Terlambat;Gusti Randa,,,
2309;Lima Menit Lagi;Ine Sinthya,,,
2310;Modal Cinta;Rano Karno & Yeni Eria,,,
2311;Aduh Upik;Kumbang Jati Group,,,
2312;Kangen;Herty Sitorus,,,
2313;Mulut Manis Hati Berduri;Iis Ariska,,,
2314;Surat Cinta;Anita Dahlan,,,
2315;Bunga Warung;Lilies Karlina,,,
2316;Ingin Kembali (Takdir II);Nais Larasati,,,
2317;Kalender Cinta;Solid AG & Ine Cinthya,,,
2318;Musibah;Anita Dahlan,,,
2319;Singgasana Cinta;Itje Trisnawati,,,
2320;Biduan;Manis Manja Group,,,
2321;Birunya Cinta;Dayu AG & Kitty Andry,,,
2322;Menyulam Kain Rapuh;Yulia Citra,,,
2323;Emosi Diri;Murni Chania,,,
2324;Mata Hatiku;Iis Dahlia,,,
2325;Macho;Vetty Vera,,,
2326;Achi Yang Bener;Ine Sinthya,,,
2327;Asmara Ikan Bakar;Jenny Hokita & Roy Hanafi,,,
2328;Aku Dilahirkan Untuk Siapa;Asep Irama,,,
2329;Sawer;Cucu Cahyati & Man Abud,,,
2330;Badai Perkawinan;Nais Larasati,,,
2331;Yadana Dana;Yus Yunus,,,
2332;Boleh Boleh;Eva Bonita,,,
2333;Suara Hati;Evie Tamala,,,
2334;Terlena;Ikke Nurjanah,,,
2335;Sebuah Nama;Intan Ali,,,
2336;Ani;Imam S. Arifin,,,
2337;Sayang;Evie Tamala,,,
2338;Tak Mau;Nais Larasati,,,
2339;Masih Punya Cinta;Meggi Z,,,
2340;Jumpa Kangen;Cucu Cahyati,,,
2341;Pertengkaran;Yunita Ababiel,,,
2342;Nggak Kuat;Hetty Soendjaya,,,
2343;Aku Benci;Nana Mardiana,,,
2344;Siapa Kau;Lilies Karlina,,,
2345;Deritamu Dosaku;Yulia Citra & Munier Khan,,,
2346;Berteman Malam;Itje Trisnawati,,,
2347;Bunga Teratai;Asep Irama,,,
2348;Seribu Kurang Satu;Roy Hanafi,,,
2349;Tepuk-Tepuk Bantal;Ratna Askara,,,
2350;Mama;Poppy Mercury,,,
2351;Bingkisan Luka;Jotha RG,,,
2352;Bukan Sembarang Pria;Kumbang Jati Group,,,
2353;Humor Cinta;Tiga Mawar Merah,,,
2354;Pagi Yang Indah;Koes Plus,,,
2355;Cintamu Telah Berlalu;Koes Plus,,,
2356;Kisah Sedih Di Hari Minggu;Koes Plus,,,
2357;Oh Kasihku;Koes Plus,,,
2358;Dara Manisku;Koes Plus,,,
2359;Manis Dan Sayang;Koes Plus,,,
2360;Penyanyi Tua;Koes Plus,,,
2361;Ayah;Koes Plus,,,
2362;Dewi Rindu;Koes Plus,,,
2363;Nusantara V;Koes Plus,,,
2364;Kembali Ke Jakarta;Koes Plus,,,
2365;Tak Usah Kau Sesali;Koes Plus,,,
2366;Nusantara VII;Koes Plus,,,
2367;Hidup Yang Sepi;Koes Plus,,,
2368;Diana;Koes Plus,,,
2369;Telaga Sunyi;Koes Plus,,,
2370;Kolam Susu;Koes Plus,,,
2371;Terlambat;Koes Plus,,,
2372;Derita;Koes Plus,,,
2373;Muda-Mudi;Koes Plus,,,
2374;Bis Sekolah;Koes Plus,,,
2375;Jangan Bimbang Dan Ragu;Koes Plus,,,
2376;Layang-Layang;Koes Plus,,,
2377;Kapan-Kapan;Koes Plus,,,
2379;Untukmu;Tito Soemarsono,,,
2380;Gethuk;Nur Afni Oktavia,,,
2381;Nona Manis;Anci La Ricci & UB2,,,
2382;Hilang Permataku;Yuni Shara,,,
2383;Mutiara Yang Hilang;Ernie Djohan,,,
2384;Untuk Kita Renungkan;Ebiet G. Ade,,,
2385;Mengapa Tiada Maaf;Bob Tutupoly,,,
2386;Sebelum Kau Pergi;Is Haryanto,,,
2387;Pasrah;Muchsin Alatas,,,
2388;Kumpul Bocah;Vina Panduwinata,,,
2389;September Ceria;Vina Panduwinata,,,
2390;Keraguan;Deddy Dhukun & Dian Pramana Putra,,,
2391;Tangis Dalam Hati;Diana Nasution,,,
2392;Bunga Flamboyan;Laily Dimyati,,,
2414;Teringat Selalu;Tetty Kadi,,,
2415;Tanpamu;Tetty Kadi,,,
2416;Terkenang Selalu;Tetty Kadi,,,
2417;Mawar Berduri;Tetty Kadi,,,
2418;Mimpi Sedih;Tetty Kadi,,,
2419;Pulau Seribu;Tetty Kadi,,,
2420;Sepanjang Jalan Kenangan;Tetty Kadi,,,
2421;Layu Sebelum Berkembang;Tetty Kadi,,,
2422;Teratai Putih;Tetty Kadi,,,
2423;Pergi Ke Bulan;Tetty Kadi,,,
2424;Kota Kembang;Tetty Kadi,,,
2425;Sebelum Kau Pergi;Tetty Kadi,,,
2426;Sangkuriang;Tetty Kadi,,,
2427;Sepasang rusa;Tetty Kadi,,,
2428;Habis Gelap Terbitlah Terang;Tetty Kadi,,,
2429;Kutunggu-tunggu;Tetty Kadi,,,
2430;Kemuning;Tetty Kadi,,,
2431;Kenangan Desember;Tetty Kadi,,,
2432;Si Kura-Kura;Tetty Kadi,,,
2433;Saling Percaya;Tetty Kadi,,,
2434;Biarkan Bunga Berkembang;Tetty Kadi,,,
2435;Gadis Kecil;Tetty Kadi,,,
2436;Senandung Rindu;Tetty Kadi,,,
2437;Akhir Cinta;Panbers,,,
2438;Gereja Tua;Panbers,,,
2439;Hidup Terkekang;Panbers,,,
2440;Pilu;Panbers,,,
2441;Indonesia (My Lovely Country);Panbers,,,
2442;Saat Perpisahan;Panbers,,,
2443;Nasib Cintaku;Panbers,,,
2444;Tak Kusangka;Panbers,,,
2445;Terlambat Sudah;Panbers,,,
2446;Perantau;Panbers,,,
2447;Dingin;Panbers,,,
2448;Musafir;Panbers,,,
2449;Selembar Harapan;Panbers,,,
2450;Senja Telah Berlalu;Panbers,,,
2451;Senja Yang Indah;Panbers,,,
2452;Putri Gunung;Panbers,,,
2453;Gadis Yang Malang;Panbers,,,
2454;Relakan;Panbers,,,
2455;Risau;Panbers,,,
2456;Kisah Cinta Remaja;Panbers,,,
2457;Setitik Embun;Panbers,,,
2458;Maafkan Daku;Panbers,,,
2459;Mulanya Biasa Saja;Pance F. Pondaag,,,
2460;Walau Hati Menangis;Pance F. Pondaag,,,
2461;Jangan Salahkan Siapa;Pance F. Pondaag,,,
2462;Demi Kau Dan Sibuah Hati;Pance F. Pondaag,,,
2463;Engkau Segalanya Bagiku;Pance F. Pondaag,,,
2464;Mengapa Tak Pernah Jujur;Pance F. Pondaag,,,
2465;Tak Ingin Sendiri;Pance F. Pondaag,,,
2466;Symphoni Rindu;Pance F. Pondaag,,,
2467;Kucari Jalan Terbaik;Pance F. Pondaag,,,
2468;Masihkah Mungkin;Pance F. Pondaag,,,
2469;Seandainya Masih Mungkin;Pance F. Pondaag,,,
2470;Begitu Indah;Pance F. Pondaag,,,
2471;Aku Percaya;Pance F. Pondaag,,,
2472;Seandainya Berterus Terang;Pance F. Pondaag,,,
2473;Kasih;Pance F. Pondaag,,,
2474;Untuk Sebuah Nama;Pance F. Pondaag,,,
2475;Jangan Pernah Ragukan;Pance F. Pondaag,,,
2476;Rindu Dihatinya;Pance F. Pondaag,,,
2477;Kerinduan;Pance F. Pondaag,,,
2478;Kau,Kau,Kau;Pance F. Pondaag,
2479;Mutiaraku;Pance F. Pondaag,,,
2480;Aduh Rindu;Obbie Messakh,,,
2481;Antara Cinta Dan Dusta;Obbie Messakh,,,
2482;Telepon Rindu;Obbie Messakh,,,
2483;Antara Benci Dan Rindu;Obbie Messakh,,,
2484;Kau Dan Aku Satu;Obbie Messakh,,,
2485;Birunya Cintaku;Obbie Messakh,,,
2486;Penyesalan;Obbie Messakh,,,
2487;Kau Tercipta Bukan Untukku;Obbie Messakh,,,
2488;Surat Merah;Obbie Messakh,,,
2489;Yang Kusayang Pandai Berdusta;Obbie Messakh,,,
2490;Bunyikan Suara Hati;Obbie Messakh,,,
2491;Antara Hitam Dan Putih;Obbie Messakh,,,
2492;Birunya Rinduku;Obbie Messakh,,,
2493;Terserah Kamu;Obbie Messakh,,,
2494;Jatuh Air Mataku;Obbie Messakh,,,
2495;Cobalah Untuk Mengerti;Obbie Messakh,,,
2496;Tiada Nama Seindah Namamu;Obbie Messakh,,,
2497;Untukmu Kuserahkan;Obbie Messakh,,,
2498;Juwita Cintaku;Obbie Messakh,,,
2499;Elegi Rinduku;Obbie Messakh,,,
2500;Lebih Baik Sakit Gigi;Obbie Messakh,,,
2501;Mobil Dan Bensin;Obbie Messakh,,,
2502;Kembali;Koes Plus,,,
2503;Senja;Koes Plus,,,
2504;Jangan Cemburu;Koes Plus,,,
2505;Jangan Terulang Lagi;Koes Plus,,,
2506;Selamat Berpisah;Koes Plus,,,
2507;Hatiku Beku;Koes Plus,,,
2508;Mak Engket;Koes Plus,,,
2509;Bila Kau Pulang;Koes Plus,,,
2510;Si Kancil Mencuri Timun;Koes Plus,,,
2511;Oh Kasihan;Koes Plus,,,
2512;Untuk Dia;Koes Plus,,,
2513;Nusantara I;Koes Plus,,,
2514;Di Pantai Bali;Koes Plus,,,
2515;Hidup Tanpa Cinta;Koes Plus,,,
2516;Dewi Impian;Koes Plus,,,
2517;Termenung Lesu;Koes Plus,,,
2518;Dam Dam Da Ra Ram (Rindu);Koes Plus,,,
2519;Kr. Pertemuan;Koes Plus,,,
2520;Penyanyi Butuh Uang;Koes Plus,,,
2521;Kr. Cincin;Koes Plus,,,
2522;Ojo Podo Nelongso;Koes Plus,,,
2523;Ela Elo;Koes Plus,,,
2524;Mengapa;Koes Plus,,,
2525;Andaikan Kau Datang;Koes Plus,,,
2526;Oh Kau Tahu;Koes Plus,,,
2527;Tiba-Tiba Ku Menangis;Koes Plus,,,
2528;Mari-Mari;Koes Plus,,,
2529;Tul Jaenak;Koes Plus,,,
2530;Buat Apa Susah;Koes Plus,,,
2531;Mawar Bunga;Koes Plus,,,
2532;Deg Deg Plas;Koes Plus,,,
2533;Hidup Dalam Bui;Koes Plus,,,
2534;Kelelawar;Koes Plus,,,
2535;Maria;Koes Plus,,,
2536;Melati Biru;Koes Plus,,,
2537;Bunga Di Tepi Jalan;Koes Plus,,,
2538;Angin Laut;Koes Plus,,,
2539;Jemu;Koes Plus,,,
2540;Jangan Bersedih;Koes Plus,,,
2541;Cubit-Cubitan;Koes Plus,,,
2542;Mari Berjoget;Koes Plus,,,
2543;Kerinduan;Meriam Bellina,,,
2544;Symphoni Rindu;Meriam Bellina,,,
2545;Seandainya Masih Mungkin;Meriam Bellina,,,
2546;Bukan Kau Yang Pertama;Meriam Bellina,,,
2547;Kau,Kau,Kau;Meriam Bellina,
2548;Seandainya Berterus Terang;Meriam Bellina,,,
2549;Walau Hati Menangis;Meriam Bellina,,,
2550;Begitu Indah;Meriam Bellina,,,
2551;Jangan Pernah Ragukan;Meriam Bellina,,,
2552;Aku Percaya;Meriam Bellina,,,
2553;Ingin Dekat Denganmu;Meriam Bellina,,,
2554;Jangan Salahkan Siapa;Meriam Bellina,,,
2555;Hello Kekasih;Meriam Bellina,,,
2556;Mulanya Biasa Saja;Meriam Bellina,,,
2557;Di Ujung Malam;Meriam Bellina,,,
2558;Entah Dimana;Meriam Bellina,,,
2559;Kembalilah;Meriam Bellina,,,
2560;Terlalu;Meriam Bellina,,,
2561;Katakan Salahku;Meriam Bellina,,,
2563;Mengapa Kita Harus Berpisah;Meriam Bellina,,,
2564;Jeritan Hati Kecil;Meriam Bellina,,,
2565;Sayang;Meriam Bellina,,,
2566;Tiada Lagi;The Mercys,,,
2567;Kisah Seorang Pramuria;The Mercys,,,
2568;Semua Bisa Bilang;The Mercys,,,
2569;Dalam Kerinduan;The Mercys,,,
2570;Ayah;The Mercys,,,
2571;Usah Kau Harap Lagi;The Mercys,,,
2572;Injit Injit Semut;The Mercys,,,
2573;Untukmu;The Mercys,,,
2574;Hidupku Sunyi;The Mercys,,,
2575;Baju Baru;The Mercys,,,
2576;Bunga Mawar;The Mercys,,,
2577;Hey Hey Hey;The Mercys,,,
2578;Biarku Sendiri;The Mercy's,,,
2579;Kasih;The Mercy's,,,
2580;Di Pantai;The Mercy's,,,
2581;Kurela Dikau Kasih;The Mercy's,,,
2582;Tak Sedetikpun;The Mercy's,,,
2583;Hanyalah Kenangan;The Mercy's,,,
2584;Dimana Kasihku;The Mercy's,,,
2585;Jangan Biarkan Kusendiri;Mercy's,The,,
2586;Mimpi;Mercy's,The,,
2587;Lagu Rindu;Mercy's,The,,
2588;Jauh Disayang;Mercy's,The,,
2589;Jangan Pisahkan;Deddy Dores,,,
2590;Bagai Lilin Kecil;Deddy Dores,,,
2591;Sebuah Lagu Buat Nike;Deddy Dores,,,
2592;Dunia Ikut Menangis;Deddy Dores,,,
2593;Biarkan Cintamu Berlalu;Deddy Dores,,,
2594;Seberkas Sinar;Deddy Dores,,,
2595;Bintang Kehidupan;Deddy Dores,,,
2596;Masih Ada Cinta;Deddy Dores,,,
2597;Sinarilah;Deddy Dores,,,
2598;Khais Dan Laila;Deddy Dores,,,
2599;Aku Ingin Pulang;Deddy Dores,,,
2600;Cintaku Tak Kan Berubah;Deddy Dores,,,
2601;Mendung Tak Berarti Hujan;Deddy Dores & Ella,,,
2602;Untuk Apa Lagi;Deddy Dores,,,
2603;Hatiku Seputih Gaunmu;Deddy Dores,,,
2604;Matahariku;Deddy Dores,,,
2605;Setitik Air;Deddy Dores,,,
2606;Hujan;Deddy Dores,,,
2607;Hatiku Masih Milikmu;Deddy Dores,,,
2608;Angelia;Deddy Dores,,,
2609;Hanya Kau Yang Kupilih;Basofi Sudirman,,,
2610;Putri;Obbie Messakh,,,
2612;Tentang Cinta;RC Formation,,,
2613;Buku Harian;Ratna Rafi,,,
2614;Sandiwara Cinta;Deddy Dores,,,
2615;Cintaku Terbalut Sepi;Elisa,,,
2616;Cukup Satu Kali;Benny Panjaitan,,,
2617;Ambil Saja Milikmu;Netta Dewi,,,
2618;Tinggi Gunung Seribu Janji;Bob Tutupoly,,,
2619;Surat Undangan;Dian Iskandar,,,
2620;Sampai Menutup Mata;Tanty Yosepha,,,
2621;Nurhayati;Master Voice,,,
2622;Karena Iseng;Gombloh,,,
2623;Kr. Dinda Bestari;N.N.,,,
2624;Kr. Telomoyo;N.N.,,,
2625;Rek Ayo Rek;Mus Mulyadi,,,
2626;Bujangan;Jamal Mirdad,,,
2627;Bunga Di Tepi Jalan;Koes Plus,,,
2628;Dara Manisku;Koes Plus,,,
2629;Lanang Wadon (Tunggang-Tungging);Yong Sagita,,,
2630;Sebelum Kau Pergi;Yuni Shara,,,
2631;Cintaku Tak Terbatas Waktu;Anie Carera,,,
2632;Hilangnya Seorang Gadis;Deddy Dores,,,
2633;Kemana Lagi;Iis Sugianto,,,
2634;Kasihku;Deddy Dores & Lilian,,,
2635;Harapan Yang Suci;Arie Koesmiran,,,
2636;Bandung Menangis Lagi;Deddy Dores & Nafa Urbach,,,
2637;Terlanjur Sayang;Memes,,,
2638;Bianglala;Mel Shandy,,,
2639;Katakanlah;Coboy,,,
2640;Aku Bukan Yang Dulu;Obbie Messakh,,,
2641;Sebening Embun Pagi;Ikko,,,
2642;Sembilu Dalam Cinta;Nin Samantha,,,
2643;Nyanyian Rindu;Ebiet G. Ade,,,
2645;Cinta Dan Permata;Panbers,,,
2646;Jangan Pisahkan Aku;Nia Dicky Zulkarnaen,,,
2647;Awang-Awang;Iwan Fals,,,
2648;Satu-Satu;Iwan Fals,,,
2650;Cinta 2X;Male Voice,,,
2651;Orang Gila;Iwan Fals,,,
2652;Kasih;Boomerang,,,
2653;Antara Aku Kau Dan Dia;Poppy Mercury,,,
2654;Kencan Pertama;Rano Karno & Kiki Fatmala,,,
2655;Cintaku Tergusur;Rano Karno,,,
2656;Lelaki Dan Rembulan;Yopie Latul,,,
2657;Baru Lima Menit;Jamal Mirdad,,,
