ID;Title;Singer,,,
320;Tahu Opo Tempe;Minul / Manthou's,,,
321;Cinta Bukanlah Kapal;Kania,,,
322;Sorga Dan Neraka;Hetty Soenjaya,,,
323;Simalakama 2;Yopie Latul,,,
324;Sumpah Benang Emas;Elvie Sukaesih,,,
325;Kecewa;Iis Dahlia,,,
326;Seroja;Iis Dahlia,,,
327;Diambang Sore;Iis Dahlia,,,
328;Dosa Dan Siksa;Iis Dahlia,,,
329;Beban Asmara;Iis Dahlia,,,
330;Timang Timang;Iis Dahlia,,,
331;Pergi Tanpa Pesan;Iis Dahlia,,,
332;Fatwa Pujangga;Iis Dahlia,,,
333;Darah Biru;Iis Dahlia,,,
334;Desember Kelabu;Yuni Shara,,,
335;Surat Undangan;Yuni Shara,,,
336;Hilang Permataku;Yuni Shara,,,
337;Kerinduan;Yuni Shara,,,
338;Andaikan;Yuni Shara,,,
339;Aku Jatuh Cinta;Yuni Shara,,,
340;Kau Yang Ku Sayang;Yuni Shara,,,
341;Hanya Cinta Yang Kupunya;Manis Manja Group,,,
342;Bulan Separuh;Lilies Karlina,,,
343;Hati Panas Membara;Rana Rani,,,
344;Pestamu Dukaku;Yulia Citra,,,
345;Kekasih;Kitty Andry,,,
346;Cempedak Buah Nangke;Armadi Raga & Jenny H.,,,
347;Abah Emak;Kelompok Centil,,,
348;Prasangka;Ine Sinthya,,,
349;Kr. Tidurlah Intan;Asih K.,,,
350;Stb. Jauh Di Mata;Asih K.,,,
351;Lgm. Juwita Malam;Sriwidadi,,,
352;Lgm. Kicir Kicir;Hetty K.E,,,
353;Stb. Dayung Sampan;Hetty K.E,,,
354;Kr. Kemayoran;Nenny  Sri Wahyuni,,,
355;Kr. Sapu Lidi;Minul,,,
356;Stb. Jali Jali;Hetty K.E,,,
357;Lgm. Jangan Ditanya;Kamal Z.,,,
358;Lgm. Gambang Semarang;Hetty K.E,,,
359;Kr. Meratap Hati;Asih K.,,,
360;Kr. Pasar Gambir;Betharia Sonatha,,,
361;Lgm. Galunggung;Hetty K.E,,,
362;Kr. Roda Dunia;Sriwidadi,,,
363;Petir;Toto Salmon,,,
364;Kr. Tembang Pahlawan;Hetty K.E,,,
365;Nyanyian Cintamu;AB Three,,,
366;Dia;Reza,,,
367;Salah;Potret,,,
368;Burung Gereja;Nugie,,,
369;Tak Ingin Yang Lain;Utha Likumahuwa,,,
370;Selamanya Cinta;Yana Yulio,,,
371;Aku Cemburu;Trie Utami,,,
372;Saling Setia;Rita Effendy,,,
373;Negeri Di Awan;Katon Bagaskara,,,
374;Aku Semut Merah;Meggi Z,,,
375;Orang Sekampung;Caca Handika,,,
376;Terlanjur Basah;Meggi Z,,,
377;Takut Dosa;Meggi Z,,,
378;Payung Hitam;Iis Dahlia,,,
379;Sorga Dunia;Elvy Sukaesih,,,
380;Kumbang Kumbang;Trisna Levia,,,
381;Sisa Sisa Cinta;Amry Palu,,,
382;Mandi Kembang;Hesty Damara,,,
383;Cinta Bercabang;Neneng Anjarwati,,,
384;Ramina;Caca Handika,,,
385;Harapan Dan Duka;Ratna Anjani,,,
386;Selamat Tinggal Kekasih;Meggi. Z,,,
387;Hidupku Untuk Cinta;Ratna Anjani,,,
388;Hiasan Mimpi;Ade Irma,,,
389;Susah Hati;Leo Waldy,,,
390;Kesunyian Jiwa;Caca Handika,,,
391;Dalam Kerinduan;Dewi Yull,,,
392;Cinta Yang Hitam;Dewi Yull,,,
393;Patah Hati;Dewi Yull,,,
394;Telaga Sunyi;Dewi Yull,,,
395;Melati Dari Jaya Giri;Dewi Yull,,,
396;Setulus Hatimu Semurni Cintaku;Dewi Yull,,,
397;Setangkai Anggrek Bulan;Dewi Yull,,,
398;Bougenville;Dewi Yull,,,
399;Tiada Lagi;Dewi Yull,,,
400;Ma'afkan Daku Bila Mencintaimu;Dewi Yull,,,
401;Aku Ingin Cinta Yang Nyata;Betharia Sonatha,,,
402;Ma'afkan Daku;Betharia Sonatha,,,
403;Biarlah Sendiri;Betharia Sonatha,,,
404;Biarku Sendiri;Betharia Sonatha,,,
405;Siapa Bilang Aku Cinta;Betharia Sonatha,,,
407;Laut Cinta;Bimbo,,,
408;Melati;Bimbo,,,
409;Jumpa Untuk Berpisah;Bimbo,,,
410;Satu Dia;Bimbo,,,
411;Balada Seorang Minta Minta;Bimbo,,,
412;Bunga Sedap Malam;Bimbo,,,
413;Cinta Kilat;Bimbo,,,
414;Abang Sayang Ada Dimana;Bimbo,,,
415;Nelayan Tua;Bimbo,,,
416;Abang Becak;Tradisonal,,,
417;Rembulan Menangis;Ebiet G. Ade,,,
418;Nyanyian Rindu;Ebiet G. Ade,,,
419;Seraut Wajah;Ebiet G. Ade,,,
420;Cinta;Anang & Krisdayanti,,,
421;Biar Cinta;Anang & Krisdayanti,,,
422;Tembang Cinta;Doel Sumbang & Nini Carlina,,,
423;Jangan Ada Luka;Achmad Albar / Nicky Astria,,,
425;Permata Hati;Harvey Malaiholo & Rafika Duri,,,
426;Selamat Tinggal;Indra Lesmana  & Gilang R,,,
427;Sinden Jaipong;Lilis Karlina,,,
428;Ilalang;Machicha Mochtar,,,
437;Titip Cintaku;Nana Mardiana,,,
438;Bulan;Mega Mustika,,,
439;Dendang Rindu;Bintang-Bintang MSC,,,
440;Untung;Trio Sakherah,,,
441;Ditelan Malam;Rini Aryand,,,
442;Dokter Cinta;Evie Tamala,,,
443;Tanpa Kamu;Imam S. Arifin,,,
444;Pacaran Asyik;Bintang-Bintang MSC,,,
445;Berdayung Cinta;Imam S. Arifin & Dahlia,,,
446;Balikkin;Slank,,,
447;Mawar Merah;Slank,,,
448;Photo Dalam Dompetmu;Slank,,,
449;Kirim Aku Bunga;Slank,,,
450;Terserah;Slank,,,
451;Bali Bagus;Slank,,,
452;Hujan;Slank,,,
453;Anyer 10 Maret;Slank,,,
454;Aku Gila;Slank,,,
455;Telanjang;Slank,,,
456;Maafkan;Slank,,,
457;Terlalu Manis;Slank,,,
